max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556,0.40109610917537736,0.3342261904761905,0.43443186217576446,0.16860723964382496,0.4441952187379016,0.2410157762291909,0.3141114982578397,0.27023567557104144,0.23475367789392165,0.1505565234223769,0.19853852109949655,0.2904326364692218,0.23543602400309704,0.20829945799457994,0.18602884243128137,0.1783875338753388,0.18605545876887342,0.1811943476577622,0.24584301200154857,0.20273180410375524,0.21599157955865267,0.18465447154471537,0.04479287650019359,0.1804853852109949,0.06569154084397977
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.83,0.0,0.23,0.43,0.38,0.4877927797135115,0.36666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.76,0.0,0.13,0.25,0.31,0.5546626984126983,0.5277777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.67,0.0,0.21,0.24,0.29,0.4544570267131244,0.425,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.72,0.0,0.06,0.18,0.14,0.7202816492450639,0.6083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.825,0.0,0.225,0.25,0.25,0.44469367015098726,0.46111111111111114,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.85,0.0,0.03,0.1,0.21,0.6478731126596979,0.5361111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.79,0.0,0.04,0.22,0.24,0.5747773906310492,0.5055555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.74,0.0,0.12,0.18,0.16,0.6186532133178474,0.5805555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.83,0.0,0.02,0.05,0.2,0.6541352109949672,0.5305555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.75,0.0,0.05,0.15,0.1,0.7383323654665119,0.6888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.73,0.0,0.11,0.13,0.17,0.6903503677893923,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.785,0.0,0.065,0.185,0.235,0.598456252419667,0.5055555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.88,0.0,0.09,0.19,0.18,0.6534528648857918,0.5805555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.785,0.0,0.075,0.125,0.145,0.6805894308943089,0.6083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.755,0.0,0.095,0.115,0.155,0.7028600464576075,0.7055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.78,0.0,0.06,0.16,0.11,0.71050135501355,0.6777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.77,0.0,0.08,0.14,0.13,0.7028334301200154,0.6861111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.79,0.0,0.07,0.15,0.13,0.7076945412311266,0.6833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.82,0.0,0.12,0.2,0.18,0.6430458768873403,0.4388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.81,0.0,0.09,0.11,0.12,0.6861570847851336,0.6138888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.82,0.0,0.06,0.18,0.14,0.6728973093302362,0.6333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.77,0.0,0.06,0.16,0.13,0.7042344173441735,0.6833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.92,0.0,0.03,0.05,0.04,0.8440960123886952,0.7916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.82,0.0,0.08,0.14,0.12,0.708403503677894,0.6805555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.905,0.0,0.038,0.068,0.052,0.8231973480449091,0.775,,,,,,,,,,,,,,,,,,,,,,,,,
