max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556,0.44906842818428183,0.12269405729771576,0.1609683507549361,0.1596254355400697,0.10183894696089812,0.11504065040650402,0.1651640534262484,0.1289876113046844,0.15332946186604723,0.26400019357336424,0.19295876887340302,0.12479916763453336,0.1359393147502903,0.13458672086720846,0.1651398567557104,0.12271583430120014,0.14219173441734412,0.1178837591947347,0.1630734610917537,0.14219173441734412,0.16381629887727445,0.15820025164537355,0.12479916763453336,0.1380589430894309,0.1303789198606271
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.54,0.0,0.22,0.08,0.21,0.439820460704607,0.4361111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.62,0.0,0.03,0.05,0.1,0.7661948315911731,0.7194444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.57,0.0,0.02,0.08,0.11,0.7279205381339527,0.7027777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.64,0.0,0.04,0.06,0.13,0.7292634533488191,0.6888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.67,0.0,0.03,0.05,0.09,0.7870499419279907,0.7555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.655,0.0,0.035,0.055,0.095,0.7738482384823848,0.7305555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.73,0.0,0.07,0.04,0.12,0.7237248354626404,0.6916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.81,0.0,0.02,0.03,0.1,0.7599012775842044,0.7277777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.83,0.0,0.02,0.04,0.11,0.7355594270228416,0.6888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.92,0.0,0.05,0.03,0.23,0.6248886953155246,0.5166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.59,0.0,0.07,0.07,0.16,0.6959301200154858,0.6388888888888888,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.75,0.0,0.03,0.05,0.09,0.7640897212543555,0.7277777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.805,0.0,0.021,0.031,0.101,0.7529495741385985,0.725,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.79,0.0,0.02,0.04,0.1,0.7543021680216804,0.725,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.78,0.0,0.02,0.04,0.11,0.7237490321331784,0.6972222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.85,0.0,0.02,0.04,0.09,0.7661730545876887,0.7194444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.83,0.0,0.02,0.03,0.1,0.7466971544715447,0.7083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.82,0.0,0.02,0.04,0.09,0.7710051296941541,0.7472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.74,0.0,0.05,0.06,0.11,0.7258154277971351,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.83,0.0,0.02,0.03,0.1,0.7466971544715447,0.7083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.82,0.0,0.03,0.05,0.11,0.7250725900116144,0.7138888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.73,0.0,0.05,0.07,0.11,0.7306886372435153,0.6916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.75,0.0,0.02,0.03,0.09,0.7640897212543555,0.7277777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.82,0.0,0.03,0.04,0.1,0.7508299457994579,0.7388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.83,0.0,0.03,0.04,0.09,0.7585099690282617,0.7194444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
